Czestotliwosc,Rezystancja,Dobroc
20,46974.18,2.9035
24,46974.18,-0.001
25,46984.78,-0.000
30,47050.6,-0.008
36,47038.22,0.0001
40,46539.54,0.0151
45,47971.47,0.0342
50,48361.12,0.0059
60,47941.67,-0.002
72,48103.73,-0.005
75,47701.27,0.0167
90,46349.83,-0.007
100,47232.73,0.0060
120,47049.08,0.0012
150,47400.04,0.0096
180,47013.99,0.0067
200,47134.01,-0.000
240,47103.71,0.0053
250,46864.62,-0.000
300,47321.47,0.0017
360,46942.97,-0.001
400,47146.78,0.0015
450,46911.74,-0.002
500,47203.87,-0.000
600,47077.85,0.0006
720,47029.0,-0.001
750,46975.72,-0.000
800,47081.33,-0.001
900,47037.85,-0.000
1000,47052.07,-0.000
1200,47093.34,-0.000
1500,47088.25,-0.000
1800,47039.09,-0.000
2000,47017.22,-3.164
2400,47035.73,-0.000
2500,47052.66,-0.000
3000,47028.73,-0.000
3600,47056.76,-0.000
4000,47039.64,-0.001
4500,47037.56,-0.000
5000,47043.96,-0.001
6000,47039.56,-0.001
7200,47042.57,-0.001
7500,47021.38,-0.001
8000,47033.1,-0.001
9000,47018.48,-0.002
10000,47029.31,-0.002
12000,47012.27,-0.002
15000,46947.36,-0.003
18000,46950.5,-0.003
20000,46901.05,-0.003
24000,46762.51,-0.005
25000,46824.37,-0.002
30000,46686.3,-0.006
36000,46604.33,-0.008
40000,46386.13,-0.010
45000,46271.69,-0.009
50000,46068.93,-0.010
60000,45585.23,-0.014
72000,44771.13,-0.017
75000,44465.65,-0.017
80000,43707.91,-0.014
90000,43703.38,-0.010
100000,42459.7,-0.018
120000,40521.58,-0.002
150000,35848.33,-0.000
180000,30691.82,0.0670
200000,25750.86,0.1770
